1,799,959,799,959,0
2,1398,1678,699,839,12
3,1797,2157,599,719,25
4,2154,2588,539,647,32
5,2595,3114,519,623,35
6,2994,3593,499,599,37
7,3353,4024,479,505,40
8,3672,4407,459,551,42
9,3951,4742,439,527,45
10,4190,5028,419,503,47
20,4980,5976,249,299,68
30,5380,6456,179,215,77
40,5780,6936,145,174,81
50,6180,7416,124,149,84
60,6580,7896,109,130,86
70,6980,8376,99,119,87
80,7380,8856,92,110,88
90,8180,9816,90,109,89
100,8580,10296,85,102,90
